Title,Rating,Review,Category
24. Ahungalla Beach,"<svg aria-labelledby="":lithium-R4j9qod7a6kdalsnsla:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-R4j9qod7a6kdalsnsla:"">4.0 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12zm0 2a9.983 9.983 0 019.995 10 10 10 0 01-10 10A10 10 0 012 12 10 10 0 0112 2z"" transform=""translate(104 0)""></path></svg>",361,Nature & Wildlife Areas
25. Madu River,"<svg aria-labelledby="":lithium-R4j9r8d7a6kdalsnsla:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-R4j9r8d7a6kdalsnsla:"">4.5 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.389 0 0 5.389 0 12c0 6.62 5.389 12 12 12 6.62 0 12-5.379 12-12S18.621 0 12 0zm0 2a9.984 9.984 0 0110 10 9.976 9.976 0 01-10 10z"" transform=""translate(104 0)""></path></svg>",673,Open now
26. Bentota River,"<svg aria-labelledby="":lithium-R4j9rod7a6kdalsnsla:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-R4j9rod7a6kdalsnsla:"">4.0 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12zm0 2a9.983 9.983 0 019.995 10 10 10 0 01-10 10A10 10 0 012 12 10 10 0 0112 2z"" transform=""translate(104 0)""></path></svg>",451,Leisurely catamaran float through the bird sanctuary in late afternoon was amazing for birdwatching.
27. Tangalle Lagoon,"<svg aria-labelledby="":lithium-R4j9s8d7a6kdalsnsla:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-R4j9s8d7a6kdalsnsla:"">4.5 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.389 0 0 5.389 0 12c0 6.62 5.389 12 12 12 6.62 0 12-5.379 12-12S18.621 0 12 0zm0 2a9.984 9.984 0 0110 10 9.976 9.976 0 01-10 10z"" transform=""translate(104 0)""></path></svg>",253,Beaches
28. Tsunami Honganji Vihara,"<svg aria-labelledby="":lithium-R4j9sod7a6kdalsnsla:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-R4j9sod7a6kdalsnsla:"">4.0 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12zm0 2a9.983 9.983 0 019.995 10 10 10 0 01-10 10A10 10 0 012 12 10 10 0 0112 2z"" transform=""translate(104 0)""></path></svg>",618,Not crowded at all and locals also like to go there a lot.
29. Polhena Beach,"<svg aria-labelledby="":lithium-R4j9t8d7a6kdalsnsla:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-R4j9t8d7a6kdalsnsla:"">4.5 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.389 0 0 5.389 0 12c0 6.62 5.389 12 12 12 6.62 0 12-5.379 12-12S18.621 0 12 0zm0 2a9.984 9.984 0 0110 10 9.976 9.976 0 01-10 10z"" transform=""translate(104 0)""></path></svg>",331,Nature & Wildlife Areas
30. Sea Turtle Farm and Hatchery - Habaraduwa,"<svg aria-labelledby="":lithium-R4j9tod7a6kdalsnsla:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-R4j9tod7a6kdalsnsla:"">4.5 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.389 0 0 5.389 0 12c0 6.62 5.389 12 12 12 6.62 0 12-5.379 12-12S18.621 0 12 0zm0 2a9.984 9.984 0 0110 10 9.976 9.976 0 01-10 10z"" transform=""translate(104 0)""></path></svg>",346,They collect and rescue eggs found locally and hatch them within the safety of the protected hatchery on site.
31. Snake Farm Thelijjawila,"<svg aria-labelledby="":lithium-Rln9lbana6kdalsnsla:"" class=""UctUV d H0 hzzSG"" height=""16"" viewbox=""0 0 128 24"" width=""88""><title id="":lithium-Rln9lbana6kdalsnsla:"">4.0 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12zm0 2a9.983 9.983 0 019.995 10 10 10 0 01-10 10A10 10 0 012 12 10 10 0 0112 2z"" transform=""translate(104 0)""></path></svg>",200,"Things to do ranked using Tripadvisor data including reviews, ratings, photos, and popularity."
32. Ashram Sri Lanka,"<svg aria-labelledby="":lithium-Rardlbana6kdalsnsla:"" class=""UctUV d H0 hzzSG"" height=""16"" viewbox=""0 0 128 24"" width=""88""><title id="":lithium-Rardlbana6kdalsnsla:"">3.0 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12zm0 2a9.983 9.983 0 019.995 10 10 10 0 01-10 10A10 10 0 012 12 10 10 0 0112 2z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12zm0 2a9.983 9.983 0 019.995 10 10 10 0 01-10 10A10 10 0 012 12 10 10 0 0112 2z"" transform=""translate(104 0)""></path></svg>",76,Zoos
33. Coconut Tree Hill,"<svg aria-labelledby="":lithium-Rarhlbana6kdalsnsla:"" class=""UctUV d H0 hzzSG"" height=""16"" viewbox=""0 0 128 24"" width=""88""><title id="":lithium-Rarhlbana6kdalsnsla:"">2.0 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12zm0 2a9.983 9.983 0 019.995 10 10 10 0 01-10 10A10 10 0 012 12 10 10 0 0112 2z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12zm0 2a9.983 9.983 0 019.995 10 10 10 0 01-10 10A10 10 0 012 12 10 10 0 0112 2z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12zm0 2a9.983 9.983 0 019.995 10 10 10 0 01-10 10A10 10 0 012 12 10 10 0 0112 2z"" transform=""translate(104 0)""></path></svg>",135,Open now
34. Dutch Reformed Church,"<svg aria-labelledby="":lithium-r44:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-r44:"">4.5 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.389 0 0 5.389 0 12c0 6.62 5.389 12 12 12 6.62 0 12-5.379 12-12S18.621 0 12 0zm0 2a9.984 9.984 0 0110 10 9.976 9.976 0 01-10 10z"" transform=""translate(104 0)""></path></svg>",482,"If you like snakes, this place is definitely a must visit. Approx 15 different snakes, including 3 cobras, several..."
35. Martin Wickramasinghe Folk Museum Complex,"<svg aria-labelledby="":lithium-r45:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-r45:"">5.0 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(104 0)""></path></svg>",188,Nature & Wildlife Areas • Gardens
36. Mihiripenna Beach,"<svg aria-labelledby="":lithium-r46:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-r46:"">4.5 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.389 0 0 5.389 0 12c0 6.62 5.389 12 12 12 6.62 0 12-5.379 12-12S18.621 0 12 0zm0 2a9.984 9.984 0 0110 10 9.976 9.976 0 01-10 10z"" transform=""translate(104 0)""></path></svg>",150,Open now
37. Sea Turtle Conservation Project (Koggala),"<svg aria-labelledby="":lithium-r47:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-r47:"">4.0 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12zm0 2a9.983 9.983 0 019.995 10 10 10 0 01-10 10A10 10 0 012 12 10 10 0 0112 2z"" transform=""translate(104 0)""></path></svg>",233,"... to have had that time just to be, to be present, to breathe, and to appreciate how wonderful simple life can be."
38. Hiriketiya Beach,"<svg aria-labelledby="":lithium-r48:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-r48:"">4.5 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.389 0 0 5.389 0 12c0 6.62 5.389 12 12 12 6.62 0 12-5.379 12-12S18.621 0 12 0zm0 2a9.984 9.984 0 0110 10 9.976 9.976 0 01-10 10z"" transform=""translate(104 0)""></path></svg>",138,Points of Interest & Landmarks • Lookouts
39. Yala Safari,"<svg aria-labelledby="":lithium-r49:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-r49:"">4.5 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.389 0 0 5.389 0 12c0 6.62 5.389 12 12 12 6.62 0 12-5.379 12-12S18.621 0 12 0zm0 2a9.984 9.984 0 0110 10 9.976 9.976 0 01-10 10z"" transform=""translate(104 0)""></path></svg>",82,Open now
40. Weherahena Buddhist Temple,"<svg aria-labelledby="":lithium-r4a:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-r4a:"">4.0 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12zm0 2a9.983 9.983 0 019.995 10 10 10 0 01-10 10A10 10 0 012 12 10 10 0 0112 2z"" transform=""translate(104 0)""></path></svg>",142,"... , where you can be a witness of either a wonderful sunset or sunrise!!! It's a 10 min walking far from mirissa beach"
41. Ariyapala Mask Museum,"<svg aria-labelledby="":lithium-r4b:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-r4b:"">4.0 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12zm0 2a9.983 9.983 0 019.995 10 10 10 0 01-10 10A10 10 0 012 12 10 10 0 0112 2z"" transform=""translate(104 0)""></path></svg>",155,Churches & Cathedrals
42. Less Taxi,"<svg aria-labelledby="":lithium-r4c:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-r4c:"">5.0 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(104 0)""></path></svg>","1,004",This is the nicest church I saw in my month long trip to india/sri lanka.
43. Dondra Head Lighthouse,"<svg aria-labelledby="":lithium-r4d:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-r4d:"">4.5 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.389 0 0 5.389 0 12c0 6.62 5.389 12 12 12 6.62 0 12-5.379 12-12S18.621 0 12 0zm0 2a9.984 9.984 0 0110 10 9.976 9.976 0 01-10 10z"" transform=""translate(104 0)""></path></svg>",218,Speciality Museums
44. Victor Hasselblad Sea Turtle Research & Conservation Center,"<svg aria-labelledby="":lithium-r4e:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-r4e:"">4.0 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12zm0 2a9.983 9.983 0 019.995 10 10 10 0 01-10 10A10 10 0 012 12 10 10 0 0112 2z"" transform=""translate(104 0)""></path></svg>",146,Open now
45. Indika Art Gallery,"<svg aria-labelledby="":lithium-r4f:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-r4f:"">5.0 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(104 0)""></path></svg>",68,Tombs of Mr. and Mrs. Wickramasinghe are also situated here. There is a book stall of Martin Wickramasinghe at the...
46. Sooriya Weaving,"<svg aria-labelledby="":lithium-r4g:"" class=""UctUV d H0 hzzSG"" height=""12"" viewbox=""0 0 128 24"" width=""68""><title id="":lithium-r4g:"">4.0 of 5 bubbles</title><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(26 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(52 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12z"" transform=""translate(78 0)""></path><path d=""M 12 0C5.388 0 0 5.388 0 12s5.388 12 12 12 12-5.38 12-12c0-6.612-5.38-12-12-12zm0 2a9.983 9.983 0 019.995 10 10 10 0 01-10 10A10 10 0 012 12 10 10 0 0112 2z"" transform=""translate(104 0)""></path></svg>",182,Beaches
